URL,Product Name,Brand,Sale Price,MRP
https://www.adidas.co.inhttps://www.adidas.co.in/indoor-reel-shoes/JK7671.html,Indoor Reel Shoes,Adidas,₹3 359.50,"₹5 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/superstar-ii-shoes/JH7006.html,Superstar II Shoes,Adidas,₹5 999.50,"₹9 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/aeroblitzstep-shoes/JK7584.html,AeroBlitzStep Shoes,Adidas,₹3 709.50,"₹5 299.00 
-30%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/dash-smooth-shoes/JK0871.html,Dash-Smooth Shoes,Adidas,₹2 999.50,"₹4 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/aero-blaze-burst-shoes/JK7596.html,Aero Blaze Burst Shoes,Adidas,₹3 499.50,"₹4 999.00 
-30%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/aero-blaze-burst-shoes/JK7595.html,Aero Blaze Burst Shoes,Adidas,₹3 499.50,"₹4 999.00 
-30%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/galaxy-6-shoes/IE8150.html,Galaxy 6 Shoes,Adidas,N/A,N/A
https://www.adidas.co.inhttps://www.adidas.co.in/duramo-speed-2-ikd-shoes/KL1713.html,Duramo Speed 2 IKD Shoes,Adidas,₹5 399.50,"₹8 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/dropset-3-training-shoes/JR1676.html,Dropset 3 Training Shoes,Adidas,₹7 799.50,"₹12 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/sl72-og-shoes/JR1639.html,Sl72 OG Shoes,Adidas,₹7 199.50,"₹11 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/sl-72-og-shoes/JR4229.html,SL 72 OG Shoes,Adidas,₹5 999.50,"₹9 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/galaxy-6-shoes/GW3847.html,Galaxy 6 Shoes,Adidas,₹4 199.50,"₹5 999.00 
-30%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/switch-move-running-shoes/IH6045.html,Switch Move Running Shoes,Adidas,₹3 599.50,"₹5 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/dropset-3-training-shoes/JR1677.html,Dropset 3 Training Shoes,Adidas,₹7 799.50,"₹12 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/dropset-2-training-shoes/ID4957.html,Dropset 2 Training Shoes,Adidas,₹7 799.50,"₹12 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/runmet-shoes/JK1232.html,Runmet Shoes,Adidas,₹3 599.50,"₹5 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/run-60s-3.0-ikd-shoes/JL2234.html,Run 60s 3.0 IKD Shoes,Adidas,₹3 599.50,"₹5 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/indoor-reel-shoes/JK7672.html,Indoor Reel Shoes,Adidas,₹3 359.50,"₹5 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/meridian-flip-flops/JK8101.html,Meridian Flip Flops,Adidas,₹1 799.50,"₹2 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/copa-pure-3-league-firm-multi-ground-boots/JH6298.html,Copa Pure 3 League Firm/Multi-Ground Boots,Adidas,₹5 159.50,"₹8 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/predator-sala-shoes/JQ3915.html,Predator Sala Shoes,Adidas,₹7 199.50,"₹11 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/f50-club-turf-boots/JI0026.html,F50 Club Turf Boots,Adidas,₹3 599.50,"₹5 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/adilette-comfort-slides/JI4729.html,Adilette Comfort Slides,Adidas,₹2 759.50,"₹4 599.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/cush-walk-shoes/JK8188.html,Cush Walk Shoes,Adidas,₹2 399.50,"₹3 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/predator-club-firm-multi-ground-boots/JH8847.html,Predator Club Firm/Multi-Ground Boots,Adidas,₹3 599.50,"₹5 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/contaro-ms-sandals/JK8115.html,CONTARO Ms Sandals,Adidas,₹1 199.50,"₹1 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/adistar-4-running-shoes/JR0287.html,Adistar 4 Running Shoes,Adidas,₹8 399.50,"₹13 999.00 
-40%
Discount"
https://www.adidas.co.inhttps://www.adidas.co.in/copa-pure-3-league-firm-multi-ground-boots/JH6299.html,Copa Pure 3 League Firm/Multi-Ground Boots,Adidas,₹5 159.50,"₹8 599.00 
-40%
Discount"
